Check,SKU,UPC,Description,Price,CurrencyCode,Sell_Unit
1,003001618,000000000002957028,Kieu chua trang kg,132,500,VND,KG
1,003001619,000000000002957029,Mam sac xay kg,88,500,VND,KG
1,003001621,000000000002957031,Mam sac nguyen con kg,100,000,VND,KG
1,003001622,000000000002957032,Mam Linh nguyen con kg,88,500,VND,KG
1,003001623,000000000002957033,Toi chua kg,130,000,VND,KG
1,003001624,000000000002957034,Du du nuoc tom kg,65,000,VND,KG
1,003050291,000000000002956032,Cua ram kg,30,300,VND,KG
1,003050293,000000000002955511,Muc vi Kg,25,000,VND,KG
1,003050301,000000000002955178,Ca Ngay so che kg-NCC,40,000,VND,KG
1,003050310,000000000002955166,Ca Hong so che Kg-NCC,100,000,VND,KG
1,003050320,000000000002955145,Ca Ba Trau so che kg-NCC,18,000,VND,KG
1,003050326,000000000002955066,Ca Say Kg,72,000,VND,KG
1,003050327,000000000002955065,Ca Hong kg,90,000,VND,KG
1,003050329,000000000002955022,Ca tai tuong kg,79,000,VND,KG
1,003050330,000000000002954003,Vit tuoi ncon 1.2kg-1.6kg/con,27,900,VND,KG
1,003050331,000000000002953543,Uc ga khong xuong lung Kg-VINA,44,000,VND,KG
1,003050332,000000000002953540,Ga ta ncon kg,87,000,VND,KG
1,003050333,000000000002953525,Ga TVuon ncon co dau kg - TB,60,000,VND,KG
1,003050334,000000000002953522,Uc ga file kg - VINAFOOD,62,500,VND,KG
1,003050335,000000000002953514,Ga TVuon ncon Kg - PAS,50,000,VND,KG
1,003050339,000000000002953027,Bo to uop san khong da Kg,63,000,VND,KG
1,003050340,000000000002953015,Thit bo xay kg,172,000,VND,KG
1,003050341,000000000002953011,Bo vien Kg,206,000,VND,KG
1,003050343,000000000002952306,Gan heo trong Kg,48,000,VND,KG
1,003050345,000000000002952284,Doi truong heo Kg,180,000,VND,KG
1,003050356,000000000002952257,Thit cot let heo kg,79,500,VND,KG
1,003050357,000000000002952250,S-Ba roi kg,42,000,VND,KG
1,003050358,000000000002951724,Trai Sung kg,46,000,VND,KG
1,003050359,000000000002951657,Coc tach kg-NCC,8,500,VND,KG
1,003050361,000000000002951645,Man Com kg,18,000,VND,KG
1,003050365,000000000002951604,Dua tay kg,4,500,VND,KG
1,003050371,000000000002950857,Kho qua tay Kg,4,300,VND,KG
1,003050509,000000000002957011,Cha ca Basa hap kg,39,000,VND,KG
1,003060236,000000000002957265,Kho ca bong kg,112,500,VND,KG
1,003060245,000000000002957266,Kho ca chi vang kg,68,000,VND,KG
1,003060249,000000000002957267,Kho ca com trang kg,55,000,VND,KG
1,003060251,000000000002957257,Kho ca Dong nho kg,195,500,VND,KG
1,003060255,000000000002957268,Kho ca du kg,195,500,VND,KG
1,003060257,000000000002957269,Kho ca duc kg,112,500,VND,KG
1,003060259,000000000002957271,Kho ca khoai kg,175,000,VND,KG
1,003060260,000000000002957262,Kho ca loc tam kg,220,000,VND,KG
1,003060261,000000000002957275,Kho ca luoi trau kg,165,000,VND,KG
1,003060263,000000000002957277,Kho ca sac bo dau kg,290,000,VND,KG
1,003060285,000000000002957287,Kho ca Tren kg,287,000,VND,KG
1,003060288,000000000002957281,Kho muc lon kg,670,000,VND,KG
1,003060292,000000000002957283,Kho ruoc Hue kg,195,000,VND,KG
1,003060295,000000000002957263,Kho ca Loc xe kg,325,000,VND,KG
1,003060300,000000000002955151,Ca Bong Lau so che kg,93,000,VND,KG
1,003060741,000000000002955358,Ca Tai tuong uop kg,40,000,VND,KG
1,003060768,000000000002955029,Minh ca Bong Lau kg-NCC,75,000,VND,KG
1,003060778,000000000002955355,Dau ca hong kg,35,000,VND,KG
1,003060782,000000000002955356,Minh ca hong kg,60,000,VND,KG
1,003060787,000000000002957253,Kho ca sac nho kg,155,000,VND,KG
1,003061534,000000000002950128,Bong kim cham kg,45,000,VND,KG
1,003061630,000000000002957272,Kho ca Lan phong kg,50,500,VND,KG
1,003062038,000000000002957789,Duong cat trang kg,28,500,VND,KG
1,003062060,000000000002957788,Muoi kg,5,400,VND,KG
1,003062254,000000000002957759,Dau xanh ca co vo kg,50,500,VND,KG
1,003062259,000000000002957762,Nep ngong kg,23,500,VND,KG
1,003062369,000000000002957014,Bi heo kg,12,000,VND,KG
1,003062737,000000000002950797,Hat sen HN kg,58,000,VND,KG
1,003062738,000000000002950113,Mang luoc kg,23,000,VND,KG
1,003062740,000000000002950134,Mang luoc xe kg,23,000,VND,KG
1,003062860,000000000002955359,Dau ca Basa tuoi kg - Tu NCC,11,000,VND,KG
1,003063063,000000000002955361,S-Minh ca Thu kg,65,000,VND,KG
1,003063579,000000000002952263,Xuong ong heo kg,50,000,VND,KG
1,003063580,000000000002953034,Thit Be xay kg,52,000,VND,KG
1,003063581,000000000002952271,Dung heo kg,93,000,VND,KG
1,003063582,000000000002953000,Thit nam bo kg,150,000,VND,KG
1,003063583,000000000002956665,Thit dui heo quay kg,220,000,VND,KG
1,003063584,000000000002956666,Ba roi quay kg,225,000,VND,KG
1,003063585,000000000002956668,Heo sua quay tu 10kg,240,000,VND,KG
1,003063655,000000000002955147,Ca Basa quet kg,33,000,VND,KG
1,003063671,000000000002957062,Cha ca Basa thi la kg,39,500,VND,KG
1,003064904,000000000002950116,Cai thia trang kg,6,500,VND,KG
1,003064909,000000000002950121,Che xanh kg,1,000,VND,KG
1,003064914,000000000002950133,Bong dien dien kg,26,000,VND,KG
1,003064915,000000000002950135,Rau Bap kg,8,000,VND,KG
1,003064920,000000000002950766,Khoai mi kg,4,700,VND,KG
1,003064923,000000000002950812,Nam dong co kho kg,300,000,VND,KG
1,003064926,000000000002950821,Gung non kg,15,500,VND,KG
1,003064927,000000000002950831,Toi Mien Bac kg,105,000,VND,KG
1,003064929,000000000002950839,Ca rot ngon loai 1 kg,8,000,VND,KG
1,003064930,000000000002950842,Toi tep thom bich gia KM kg,5,900,VND,KG
1,003064931,000000000002950846,Hanh phi kg,30,000,VND,KG
1,003064932,000000000002950856,Hanh tim TQuoc kg,5,800,VND,KG
1,003064934,000000000002951500,Buoi hong kg,11,500,VND,KG
1,003064939,000000000002951540,Chom Chom kg,10,500,VND,KG
1,003064941,000000000002951550,Nhan giong Thai kg,48,000,VND,KG
1,003064942,000000000002951552,Nho Do VNam kg,24,000,VND,KG
1,003064946,000000000002951595,Tao bi xanh My kg,39,500,VND,KG
1,003064948,000000000002951606,Mit hot lep kg,11,200,VND,KG
